episode_run_time,first_air_date,networks,number_of_seasons,original_name,production_companies,firstStar,secondStar,thirdStar,writer,director,musician,genre1,genre2,createdBy,air_time,adaptation,year
130.0,2/6/2019 0:00,FOX,1,Vurgun,gold film,Erkan Petekkaya,Deniz Çakır,Emre Kınay,"başar başaran ,emre özdür",altan dönmez,"alpay göltekin, zeynep alasya, caner özkan, güldiyar tanrıdağlı",Soap,Family,faruk turgut,20,0.0,2019
120.0,9/8/2019,Show TV,1,Aşk Ağlatır,mf yapım,Deniz Can Aktaş,Hafsanur Sancaktutan,Yağız Can Konyalı,"yelda eroğlu,yeşim çıtak",gökçen usta,"metin arıgül, ender gündüzlü",Drama,Romantic,faruk bayhan,20,1.0,2019
130.0,3/3/2019 0:00,Show TV,1,Nöbet,pana film,Yurdaer Okur,Saygın Soysal,İpek Karapınar,necati şaşmaz,ömer gökhan erkut,gökhan kırdar,War & Politics,Action & Adventure,muhammed necati şaşmaz,20,0.0,2019
120.0,6/13/2019 0:00,Star TV,1,Benim Tatlı Yalanım,o3 medya,Aslı Bekiroğlu,Furkan Palalı,Lavinya Ünlüer,"deniz dargı ,murat taşkent","barış erçetin ,cihan vural",cem tuncer,Comedy,Drama,şevket pamir,20,0.0,2019
120.0,10/25/2019 0:00,Star TV,1,Sevgili Geçmiş,süreç film,Ece Uslu,Emre Kınay,Sevda Erginci,funda alp,aydın bulut,batuhan fırat,Drama,No second genre,i̇nci gündoğdu,20,0.0,2019
120.0,10/23/2019 0:00,FOX,1,Kurşun,most production,Engin Altan Düzyatan,Burçin Terzioğlu,Berrak Tüzünataç,kerem deren,murat can oğuz,timur selçuk,Drama,Action,gül oğuz,20,0.0,2019
120.0,9/9/2019 0:00,Star TV,1,Çocuk,1441 productions,Nazan Kesal,İsmail Hacıoğlu,Merve Çağıran,nazlı sunlu kaçan,serkan birinci,alpay göltekin,Drama,Family,i̇rfan şahin,20,0.0,2019
130.0,8/12/2019 0:00,Star TV,2,Mehmetçik Kut'ül Amare,bozdağ film,Kaan Taşaner,İsmail Hacıoğlu,Cansu Tosun,mehmet bozdağ,mustafa şevki doğan,alpay göltekin,History,Fiction,mehmet bozdağ,20,0.0,2019
9.0,8/1/2019 0:00,BluTV,3,Aynen Aynen,blu tv,Nilperi Şahinkaya,Kerem Bursin,Uraz Kaygılaroğlu,alper erze,yunus ozan korkut,batuhan fırat,Comedy,Short,mina saygı,online,0.0,2019
120.0,4/7/2019 0:00,atv,1,Zengin ve Yoksul,ntc medya,Binnur Kaya,Gökhan Alkan,Osman Sonant,yelda eroğlu,deniz yorulmazer,alp yenier,Drama,Romantic,mehmet yiğit alp,20,0.0,2019
